"Longitude(x)"	"Latitude(y)"	"Clytolaema_rubricauda"	"Heliodoxa_aurescens"	"Heliodoxa_branickii"	"Heliodoxa_gularis"	"Heliodoxa_imperatrix"	"Heliodoxa_jacula"	"Heliodoxa_leadbeateri"	"Heliodoxa_rubinoides"	"Heliodoxa_schreibersii"	"Heliodoxa_xanthogonys"	"Hylonympha_macrocerca"	"Sternoclyta_cyanopectus"
"112"	-68.85	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"113"	-68.75	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"114"	-68.65	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"115"	-68.55	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"116"	-68.45	10.65	0	0	0	0	0	0	1	0	0	0	0	1
"117"	-68.35	10.65	0	0	0	0	0	0	0	0	0	0	0	1
"118"	-62.35	10.65	0	0	0	0	0	0	0	0	0	0	1	0
"119"	-72.85	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"120"	-72.75	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"121"	-72.65	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"122"	-72.55	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"123"	-70.75	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"124"	-70.65	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"125"	-70.55	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"126"	-70.45	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"127"	-70.35	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"128"	-70.25	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"129"	-70.15	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"130"	-70.05	10.55	0	0	0	0	0	0	1	0	0	0	0	0
"131"	-69.95	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"132"	-69.85	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"133"	-69.75	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"134"	-69.65	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"135"	-69.55	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"136"	-69.45	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"137"	-69.35	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"138"	-69.25	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"139"	-69.15	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"140"	-69.05	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"141"	-68.95	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"142"	-68.85	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"143"	-68.75	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"144"	-68.65	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"145"	-68.55	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"146"	-68.45	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"147"	-68.35	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"148"	-68.25	10.55	0	0	0	0	0	0	0	0	0	0	0	1
"149"	-67.25	10.55	0	0	0	0	0	0	0	0	0	0	0	1
"150"	-67.15	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"151"	-67.05	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"152"	-66.95	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"153"	-66.85	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"154"	-66.75	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"155"	-66.65	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"156"	-66.55	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"157"	-66.45	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"158"	-66.35	10.55	0	0	0	0	0	0	1	0	0	0	0	1
"159"	-66.25	10.55	0	0	0	0	0	0	0	0	0	0	0	1
"160"	-72.85	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"161"	-72.75	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"162"	-72.65	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"163"	-70.85	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"164"	-70.75	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"165"	-70.65	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"166"	-70.55	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"167"	-70.45	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"168"	-70.35	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"169"	-70.25	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"170"	-70.15	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"171"	-70.05	10.45	0	0	0	0	0	0	1	0	0	0	0	0
"172"	-69.95	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"173"	-69.85	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"174"	-69.75	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"175"	-69.65	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"176"	-69.55	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"177"	-69.45	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"178"	-69.35	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"179"	-69.25	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"180"	-69.15	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"181"	-69.05	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"182"	-68.95	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"183"	-68.85	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"184"	-68.75	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"185"	-68.65	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"186"	-68.55	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"187"	-68.45	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"188"	-68.35	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"189"	-68.25	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"190"	-68.15	10.45	0	0	0	0	0	0	0	0	0	0	0	1
"191"	-68.05	10.45	0	0	0	0	0	0	0	0	0	0	0	1
"192"	-67.95	10.45	0	0	0	0	0	0	0	0	0	0	0	1
"193"	-67.85	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"194"	-67.75	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"195"	-67.65	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"196"	-67.55	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"197"	-67.45	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"198"	-67.35	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"199"	-67.25	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"200"	-67.15	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"201"	-67.05	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"202"	-66.95	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"203"	-66.85	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"204"	-66.75	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"205"	-66.65	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"206"	-66.55	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"207"	-66.45	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"208"	-66.35	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"209"	-66.25	10.45	0	0	0	0	0	0	1	0	0	0	0	1
"210"	-66.15	10.45	0	0	0	0	0	0	0	0	0	0	0	1
"211"	-84.85	10.35	0	0	0	0	0	1	0	0	0	0	0	0
"212"	-84.75	10.35	0	0	0	0	0	1	0	0	0	0	0	0
"213"	-72.85	10.35	0	0	0	0	0	0	1	0	0	0	0	0
"214"	-72.75	10.35	0	0	0	0	0	0	1	0	0	0	0	0
"215"	-72.65	10.35	0	0	0	0	0	0	1	0	0	0	0	0
"216"	-70.85	10.35	0	0	0	0	0	0	1	0	0	0	0	0
